,Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Research Institute of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
205,Next Generation Homogeneous Catalysts for Carbon Conversion,"Carbon dioxide, the largest by volume greenhouse gas, has recently reached its highest level in the earth’s atmosphere in human history. This project will explore new approaches in the conversion of carbon dioxide to platform chemicals using homogeneous catalysts. The project will focus on the design and synthesis of novel molecular catalysts for this purpose, and evaluation of their structure using advanced characterization techniques. Selected complexes will be investigated in sustainable catalysis such as the hydrogenation of CO2.","Homogeneous catalysis covers aspects of the main branches of chemistry: inorganic, organic & physical. As phosphines and their metal complexes are air-sensitive you will be trained in advanced air-free synthetic techniques. After completion of the internship the student will have an understanding of the challenges and opportunities in the development of sustainable chemistry. They will have been introduced to important skills required for organometallic chemistry and catalysis. In addition the student will be mentored in areas such as scientific writing and oral communication.","Under supervision, design and synthesize a series of novel ligands and catalysts. The student will evaluate their structure using advanced characterization techniques. This will be followed by an investigation of their catalytic properties in the conversion of carbon dioxide to platform chemicals. The student will be expected to communicate their results through regular team meetings and reports. Attention to detail and a strong emphasis of safety are essential for this work.","The suitable candidate should have a strong interest in synthetic chemistry. For an example of the type of work we do please see our recent publications (Commun Chem 6, 85 (2023), https://doi.org/10.1038/s42004-023-00876-8).The candidate should have a background in organic or inorganic chemistry with basic laboratory skills in synthetic chemistry. Skills in NMR spectroscopy and scientific software such as ChemDraw, Mestrenova and SciFinder are desirable but not a per-requisite as adequate training will be provided.",ISCE2,James David Nobbs,"Institute of Sustainability for Chemicals, Energy and Environment, 1 Pesek Rd, Jurong Island, Singapore 627833","Physical Sciences,Chemistry",1
206,NIPU from waste PET: Giving a new life to waste materials,"Non-isocyanate polyurethane (NIPU) is regarded as a prominent class of sustainable polymers that can be derived from CO2 and biobased chemicals, can be biodegradable and potential for many diverse applications including self-healing coatings, home care, personal care to oil-field applications. Polyethylene terephthalate (PET) is one of the most abundant plastics produced today (approximately 25.5 million metric tons in 2022) and generate enormous amount of waste annually. This proposal aims upcycle waste PET to functional NIPU via a greener and sustainable processes and to exploit the novel NIPU materials for different applications including nano-composite coatings with improved strength, and gas barrier properties.","The student will learn synthesis, characterization (NMR, FTIR, GPC, DSC, TGA etc.) and application of next generation sustainable and circular polymers. The student will also be exposed to literature search, experimental planning and design, scientific presentation and creation of novel materials and applications.","The student will be responsible to carry out literature search, experiment design & planning, and to execute in the lab. The student also needs to present the outcome time to time to the supervisor/ research team and finally to write a report. 
","A student with an inquisitive mind and willingness to work in the area of sustainable polymers /plastics. 
",ISCE2,Satyasankar Jana,"Institute of Sustainability for Chemicals, Energy and Environment, 1 Pesek Rd, Jurong Island, Singapore 627833","Physical Sciences,Chemistry",1
207,Noisy speech enhancement and robust speech recognition,This project develops speech enhancement and speech recognition engines for severely noisy recognition,"The stuident will learn deep knowledges in speech enhancement and noisy speech recognition, paritucalrly under limited available training data condition.",Selected students can select one or several tasks as follows: 1) Non-strereo data generation; 2) Partial Differencial Equation driven speech AI modeling ; 3) Joint training of speech enhancement and recognition,Experiences with speech processing is mandatory,I2R,Tran Huy Dat,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer and Software Engineering,Aerospace Engineering,Mathematics",2
208,Novel target identification for therapeutic development of NAFLD through a patient transcriptome-based in vivo functional genetic screening,"Non-alcoholic fatty liver disease (NAFLD) is rapidly being recognized as the most common cause of chronic liver disease worldwide. However, unlike other highly prevalent diseases, it remains underrepresented with limited effective therapeutic. Therefore, there is an urgent need to prioritize novel and effective therapeutic development. To address this, we established an innovative therapeutic target identification and validation platform for NAFLD therapeutic development. We strategically combined in-depth transcriptomic profiling of NAFLD patient samples with in vivo RNAi screens in NAFLD mouse models to identify potential therapeutic targets, which is ultimately for fast translation to siRNA-based therapeutic development from the screening result. A list of target candidates was identified through our in vivo screening approach, and the promissing targets are now being validated utilizing our proprietary target validation platforms.","Our target identification and validation process for NAFLD therapeutics development is divided into three main steps: target selection through bioinformatics analysis of screening data, followed by in vitro validation, and finally, in vivo validation. Consequently, our lab conducts a wide range of experiments using bioinformatics tools, molecular biology techniques, human in vitro disease modeling, and in vivo mouse studies.
However, the learning outcomes for students will vary depending on their interests. We will first discuss with the students to understand their areas of interest and then plan together to achieve the learning outcomes efficiently within the given timeline.",All data generated in the lab must be submitted to the supervisor. Confidentiality of the data will be requested if required.,"Our team focuses on developing therapies for chronic liver diseases, particularly NAFLD. Therefore, we usually ask students to read relevant review papers to help them understand the disease.",GIS,Lee Yong-An,"Genome Institute of Singapore, 60 Biopolis Street, Genome, #02-01, Singapore 138672","Biomedical Sciences,Biomedical Sciences,",2
209,Novel View Synthesis for LiDAR sensor,"This project is targeting an autonomous driving scenario. The LiDAR sensor is an important sensor for environment perception. To ensure safety, the autonomous driving vehicle must be able to anticipate the future surrounding environment according to current observations. We try to solve this challenge with a powerful diffusion model in this project.","The students will get:
1.  Hands-on experience with LiDAR data and its application in autonomous driving, 
2. Advanced techniques in machine learning and diffusion models to predict and interpret complex environments. 
3. The process of academic research, including paper reading, idea development, and experimental implementation.","1. Paper Survey: Students are required to survey related papers and summarize the related works.
2. Method Proposal: Students must develop several plausible solutions based on the summary of related works and available resources.
3. Method Implementation: Students are expected to independently implement the proposed method.
4. Experiment: Students should design experiments to validate the advantages of the proposed method.
5. Project Report: Students must write a detailed project report for future reference, encapsulating all aspects of the project.","The students are expected to：
1.Passion for AI: Students should have a keen interest in artificial intelligence.
2.Foundational Knowledge: A solid understanding of computer vision and deep learning is required.
3.Framework Familiarity: Students need to be familiar with the PyTorch framework.
4.Advantageous Knowledge: Familiarity with diffusion models is a plus.",I2R,Yang Xulei,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632",Computing and Information Sciences,1
210,"Nuclear Fusion: theory, simulation, experiment, and AI","Fusion energy is potentially safe, secure, reliable, and clean; however, it has yet to be realised commercially. We have a range of projects to accelerate the development of fusion energy by tackling key physics challenges, which arise because the core of fusion plasmas is many times hotter than the centre of the sun. We seek to develop techniques to measure and understand the fusion core. As such, we have analytical theory (>6 months), computational, experimental, and AI projects available where the students will work with a broad range of international collaborators at world-class fusion laboratories.","1) Broad understanding of plasma physics and fusion energy.
2) Teamwork, bringing together smaller projects to achieve bigger outcomes.","1) Drive research
2) Support team members and collaborators","1) Motivated to learn
2) Basic programming",IHPC,Valerian Hall-Chen,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Physical Sciences,Physics",2
211,Numerical simulation of ultrashort laser pulse propagation in ionized gases,"The ultrashort laser pulse propogation in ionized gases is governed by the generalized nonlinear Schrodinger equation (GNSE). This project focuses on building a simulation model by solving the GNSE numerically. This simulation model will be useful in studying nonlinear optical effects during pulse propagation such as self-focusing, self-compression and filamentations.",Understand fundamentals of ultrashort laser pulse propagation; Learn numerical techniques in solving partial differential equations.,Build up the numerical model using MatLab; Test and improve the stability of the model.,,SIMTech,Qiandong Ran,"Singapore Institue of Manufacturing Technology, 2 Fusionopolis Way
#08-04, Innovis
Singapore 138634",Physical Sciences,1
212,One-Shot 3D Surface Defect Identification from Consumer Video Sequence,"3D surface defect idenfitication aims to locate the defect areas on 3D structure surface. There are wide application areas for 3D surface defect identification, including car rental inspection, housing rental inspection, etc. Existing 3D surface defect identification techniques are often developed for RGBD images collected from well-controlled environment with perfect image registration and zero noise level. These approaches could easily fail on daily 3D structure surface defect identification tasks where non-professional imaging devices, e.g. regular RGB camera, and very few examples of normal patterns are available. In this project, we aim to develop a one-shot 3D surface defect identification approach which takes only a single consumer level video sequence as input and identify the defect regions. We shall demonstrate the effectiveness on real-world 3D surface defect data. More details can be found on supervisor's website: https://alex-xun-xu.github.io/","Construct the open-world 3D surface defect dataset using consumer level devices

Publish at top AI conference/journals","The student will implement experiments under The guidance of supervisor.

The student will learn to train/fine-tune AI foundation models on GPU clusters.","The student is expected to be familiar with Python coding.

Experience with 3D implicit representation is desired.

Experience with using PyTorch on GPU platforms is desired",I2R,Xu Xun,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer Science",1
213,Optical levitation for quantum sensing and fundamental physics,"Optical techniques allow us to manipulate matter with tremendous precision and flexibility. Moreover quantum nature of light is accessible at room temperature. This project will use optical fields to levitate a milligram mass, which will oscillate on a spring made entirely of light. Using  sqeezed light, we will use this system as a quantum sensor, and explore how it can be used for macroscopic quantum state generation.",You will gain experience in experimental quantum optics. You will also help build a new type of system in the cutting-edge field of levitodynamics.,,"First-year physics laboratory experience. Courses or experience
in ray/wave optics would be helpful, but is not mandatory.",IMRE,Ruvi Lecamwasam,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Physics",1
214,Optical system design with Zemax,"Optical systems are found in many engineering and scientific applications such as imaging, communication, and sensing. The design and optimization of optical systems require a blend of theoretical knowledge and practical skills. This project aims to provide the candidate with hands-on experience in designing and optimizing optical systems using industry-standard software tools like Zemax. The students will proceed to verify the design with experimental work. Through this project, students will learn the principles of optics, computational methods, and practical implementation.","1. Understand the process flow in Zemax
2. Learn ZPL and apply it in project
3. Verify the design using fabricated parts, if participating internship period is long enough.","1. Set up the design files and determine the optimization criteria.
2. Analyze the optimized results
3. Source for components and assemble the optical system.","1. Taken a course on optics, Zemax or equivalent
2. Taken a course on the use of Matlab",SIMTech,Hon Luen Seck,"Singapore Institue of Manufacturing Technology, 2 Fusionopolis Way
#08-04, Innovis
Singapore 138634","Engineering and Technology,Electrical and Electronic Engineering ",1
215,Optimization-based learning theory,"Optimization-based learning theory is a recent trend in deep learning theory community because the optimization method decides the generalization performance of overparameterized models. A stochastic gradient descent (SGD) is known to perform well for training neural networks and often outperforms other learning methodologies. Therefore, a fundamental question is why SGD performs well for overparameterized models. Given this, we theoretically work on the following two questions:
(Global convergence): Why SGD converges to an optimal solution of the empirical loss despite its nonconvex loss landscape.
(Implicit bias): Why SGD converges to a better solution in generalization despite various solutions.","1. Acquire in-depth knowledge of advanced neural network theory. 
2. Experience theoretical work on neural networks.
3. Understand why overparameterized models work.","1. Learn neural network theories and literature review.
2. Theoretical study on the optimization-based learning theory.
3. (Optional) Conduce experiments to verify the theoretical findings.","1. Be able to read research articles and learn neural network theory.
2. Mathematics / Statistics background
3. Strong interest into the foundamental theory behind neural networks.",IHPC,Atsushi Nitanda,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Statistics",2
216,Optimizing ansatz for variational quantum algorithms,"Existing quantum devices contain the order of 100 physical qubits. They are sometimes denoted as “Noisy Intermediate-Scale Quantum (NISQ)” devices (Preskill, 2018), meaning their qubits are not error corrected and, therefore, imperfect. Most of the current NISQ algorithms rely on harnessing the power of quantum computers in a hybrid quantum-classical arrangement. These algorithms update variationally the variables of a parametrized quantum circuit, known as an Ansatz, and hence are referred to as Variational Quantum Algorithms (VQA). This project aims at understanding and optimizing the design of the parameterized Ansatz for solving engineering problems. ",The scope of the project involves constructing and testing Ansaetze specifically designed for solving engineering equations,The student will run and optimize python programs,"The student is required to be familiar with the Dirac notation and basic concepts related to quantum computing (Nielsen and Chuang, 2010), as well as the following programming requisites:
1.	Python programming, and 
2.	Qiskit or Pennylane",IHPC,Leong Fong Yew,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Physics",2
217,Optimizing CO2 Electroreduction: Predicting Adsorption Energies on High-Entropy Alloys with Machine Learning,"Cu is the only single-metal catalyst capable of producing hydrocarbons and oxygenates (e.g., alcohols) during CO2 electroreduction (CO2RR), making it a good candidate. However, its activity and selectivity for desired products are insufficient for industrial applications. Efforts have been made to enhance the base Cu catalyst. High-entropy alloys (HEAs), typically a mix of five different metals, have shown excellent mechanical properties and potential as catalysts for electrochemical reactions. According to Sabatier's principle, an optimal catalyst binds an adsorbate with appropriate binding energy: too strong, and they block active sites; too weak, and they are not sufficiently present on the surface to allow reaction. The adsorption energy of key intermediates is a good indicator of catalyst effectiveness. However, the vast configurational space in HEA catalysts makes modeling adsorption sites challenging.

In this project, the student will develop machine learning models trained with high-quality quantum chemical calculations to predict the adsorption energy of key intermediates during CO2RR. The model will use local environment features (e.g., type of bonding metal atom, number of neighbors) and be tested with cross-validation techniques before deployment. The predicted data across a broad configurational space will be used to optimize the metal proportions within the HEA to enhance activity and selectivity for desired products.","Understanding of Catalyst Design: Gain knowledge of catalyst design principles, specifically the role of high-entropy alloys (HEAs) in enhancing catalytic activity and selectivity.

Machine Learning Proficiency: Develop and refine skills in creating machine learning models, including training, testing, and cross-validation techniques, to predict adsorption energies.

Feature Engineering: Learn to identify and engineer relevant features from local environments (e.g., type of bonding metal atom, number of neighbors) that influence adsorption energies in HEAs.

Data Analysis and Optimization: Gain experience in analyzing predicted data to optimize the proportions of metals within HEAs","Data Collection and Preparation: Gather and preprocess high-quality quantum chemical calculation data relevant to the adsorption energies

Feature Engineering: Identify and engineer local environment features (such as type of bonding metal atom, number of neighbors) that impact adsorption energies in HEAs.

Model Development: develop machine learning models using scikit-learn. Selection of appropriate algorithms and fine-tuning hyperparameters.

Model Testing and Validation: Perform cross-validation and other testing techniques to ensure the accuracy and reliability of the machine learning models.

Data Analysis: Analyze the predicted data to identify optimal proportions of metals within HEAs

Documentation and Reporting: Document all methodologies, results, and analyses comprehensively. Prepare detailed reports and presentations to communicate findings effectively.","Proficiency in Python Programming
Basic understanding of physical and chemical concepts.
Basic Knowledge of mathematics and statitics
Good communication skills",IHPC,Juan Manuel Arce-Ramos,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Computer Science,Chemical and Molecular Engineering,Chemistry",1
218,"Physical human-robot interaction for motion planning/control - safety, robustness and agility","For robots to blend into human environment, one standing challenge is to move in crowded environment where robot may have to wheel through tight spaces to reach its destination. This project explore the concept of robot interacting with human in tight spaces for either mobile robot or manipulator equipped with haptic sensing to produce signals and physical behaviours for way negotiation with the humans. Students can draw inspirations from the broad human psychology and behavioural science literature to design and implement a motion planning/control strategy on physical robot for trial testing.","This internship project focuses on physical human-robot interaction (HRI) for motion planning and control, emphasizing safety, robustness, and agility. Throughout the internship, the student will gain knowledge and experience in various areas including technical skills in motion planning and control and HRI; Non-technical skills in project management and problem solving skills.",Student is to assisst in the proposal and development of a novel algorithm in this area,Programming,I2R,Wu Yan,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Engineering and Technology,,Electrical and Electronic Engineering ",2
219,Physics-AI Models for Improved Weather Now-casting and Forecasting,"Weather prediction in tropical areas like Singapore is complex, and physics-based models like Numerical Weather Prediction and data-driven methods like Generative AI have been applied for fore-casting and now-casting for different time-scales respectively. We seek to develop a Physics-informed ML approach whereby we utilize physics-based model outputs in synergy with data-driven models to produce more accurate, blended outputs that combine the best of both approaches. Models and methods will be tested on Singapore-specific open-source data and on data from other collaborators.","1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow for processing numerical weather prediction outputs and building data-driven AI models.
2. Student will learn how neural networks work, and be able to edit and run such models based on latest literature.
3. Student will learn basics of generative AI, including the implementation of such models.","1) Literature review
2) Implement and run Python code for data-driven now-casting of weather based on satellite and radar images and latest generative AI methods.
3) Implement and run Python code for processing outputs from numerical weather prediction for these systems and benchmarking of results to literature.
4) Implement and test methods to blend outputs and models from both physics-based models and data-driven AI models to improve predictive performance.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science/engineering.",IHPC,Ooi Chin Chun,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Physical Sciences,Environmental Engineering,Natural Sciences",1
220,Physics-informed learning in fusion turbulence,"Understanding the plasma dynamics in confined plasmas is crucial to the successful design of a nuclear fusion reactor, which promises sustainable baseload electricity generation. Machine learning tools, such as neural networks, can be combined with physics constraints and governing equations to accelerate understanding of these complex systems. We will use numerical simulations of reduced plasma systems derived from the gyrokinetic equations to train physics-informed neural networks and assess their effectiveness in modelling such systems.",Understand how plasma simulations are performed; Understand how physics-informed neural networks work and how to train them for fusion-relevant problems; Practise conducting scientific analysis to assess neural network effectiveness and trends underlying simulation data,Design and perform numerical simulations of reduced plasma systems relevant to nuclear fusion reactor operation; Train neural networks using simulation data to model such plasma systems; Assess network training effectiveness and identify pertinent trends in simulation data,Computational/programming skills and interest in plasma dynamics,IHPC,Ronald Chan,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Physical Sciences,Mechanical Engineering,Physics",1
221,Physics-Informed ML for Modelling our World,"Many complex phenomena in nature of relevance to science and engineering (e.g. animal skin patterns / urban wind flow) are governed by dynamical systems and seemingly simple differential equations. While useful, identifying the exact parameters that describe these systems from limited data is very difficult, even as simulating these models themselves can be very computationally expensive. Hence, we seek to investigate the effectiveness of physics-informed ML methods as a potentially less computationally expensive and more accurate route to modelling such systems in both a forward meta-modelling setting and an inverse inference setting.","1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow.
2. Student will learn how neural networks work, and be able to edit such physics-informed models building on prior published work.
3. Student will also learn basics of differential equations and dynamical system modelling, and methods to solve them via numerical simulations.","1) Literature review
2) Numerical simulation of different real-world-inspired ODE/PDE-governed biological, engineering or dynamical systems (e.g. fluid dynamics, weather prediction models, Turing systems)
3) Train a physics-informed neural network for forward prediction of model systems (as in 2) and potential inverse inference of parameters defining these systems and benchmark to literature","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science, differential equations and numerical methods.",IHPC,Ooi Chin Chun,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Engineering and Technology,Bioscience and Biotechnology,Mechanical Engineering,Physics",1
222,Physics-Informed ML via Differentiable Physics Models for Inverse Problems,"Inverse modelling is of relevance to many industries, including source/contaminant inference across diverse settings such as chemical dispersion in industrial plants, rotting food detection (ethylene gas dispersion) in Agritech, airborne infectious disease transmission in urban scenarios, and defect detection in non-destructive testing. However, the physics is complex while data (typically obtained via sensors) is scarce, and has uncertainty. Hence, this project will focus on using differentiable physics models to develop physics-informed ML methods to solve such inverse problems, and subsequently, to select optimal sensor/data locations for such inverse problems.","1. Student will acquire experience working with widely used general purpose scripting languages such as Python and Tensorflow.
2. Student should be able to explain how machine learning models such as neural networks work, and be able to write code to implement said techniques. This
should be transferable skills for any future projects the student might be interested in.
3. Student will also learn basics of numerical simulation, including basic finite difference, and be able to modify said models in a differentiable physics framework","1) Literature review
2) Implement and run Python-based numerical simulation of different ODE/PDE-governed engineering systems for inverse modelling
3) Train a neural network for inference of parameters based on simulated data for parametric set of scenarios from (2) 
4) Implement algorithm to optimize sensor placements to minimize inversion error given limited sensor budget and prior on potential distribution of scenarios.","1. Able to read literature and do literature review.
2. Familiar with Python programming.
3. Knowledge of data science and analytics",IHPC,Ooi Chin Chun,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Engineering and Technology,Bioscience and Biotechnology,Electrical Engineering,Physics",1
223,"Physiological triggers of hair follicle development, degeneration and preservation of stem cell longevity","Hair follicles are mini-organs that undergo cycles of regeneration, regression and rest during homeostasis, but how hair follicles are properly developed, and how active ones transit into a state of regression remain poorly understood. Utilizing in vivo mouse models, the student will be involved in characterizing mutant mice with defective hair follicle development by processing skin tissues for barrier assays, cryosectioning, histology and immunofluorescence. The student will also be involved in optimizing methods to harvest regressive hair follicles for downstream single cell omics experiments that will elucidate how cells are spared from death and selected as stem cells for future hair regeneration. We envision these findings to help unlock new treatment portals for hair loss.","1. Deep understanding of hair biology
2. Ability to design controlled experiments, as well as troubleshoot and optimize experimental methods
3. Tissue preservation, cryosectioning and skin barrier assays
4. Immunofluorescence and microscopy imaging
5. FACS-purification of various hair follicular keratinocytes

","1. Understand key objectives of project
2. Be enthusiastic about learning and striving for improvement in scientific aptitude, knowledge and techniques
3. Achieve set learning outcomes
4. Keep detailed and accurate lab records of experiments performed
5. Be engaged and interactive with supervisor and members of the lab
6. Adhere closely to safe and responsible lab practices",Prior lab experience is preferred,A*SRL,Kenneth Lay,"A*STAR Skin Research Labs, 8A Biomedical Grove, #06-35 Immunos, Singapore 138648","Biomedical Sciences,Biomedical Sciences,",1
224,Precise magnetometry for tracking the motion of superconduting levitated ferromagnetic particle,"A ferromagnetic particle is predicted to precess about the magnetic field like the atoms at a Larmor frequency under conditions where its intrinsic spin dominates over its rotational angular momentum. Observing the atomic precession at a mesoscopic scale requires frictionless levitation to allow free precession and good magnetic shielding to reduce the orbital angular momentum. Such levitated freely precessing ferromagnetic particle is a correlated system of spins, which can rapidly average quantum uncertainty. The dynamic of such a particle can be well described by the Landau-Lifshitz-Gilbert equation. The crystal lattice of the precessing ferromagnetic particle can relax fast and follow the collective spin within nanoseconds due to the fast Gilbert damping. The “artificial atom” can be used for developing next-gen quantum sensors whose sensitivity can be far beyond the standard quantum limit : gyroscopes, magnetometers, gravimeters, and accelerators","the student will have a better understanding of precise magetometry,
and the fundamental applications, such as dark matter detection
and fifth force detection","help to construct and develop precise magnetometry,
work toward applying it to fundamental physics","Physics or related field. 
Motivation, Curiosity and Teamwork",IMRE,Wang Tao,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Mechanical Engineering,Physics",1
225,Precision Medicine: moving from average treatment effects to individualized treatment effects,"This project aims to harmonize the use of artifical intelligence and statistical methods towards helping clinicians make better treatment recommendations for their patients. It aims to do so not only by obtaining estimates that are unbiased, but also by using statistical approaches to obtain confidence intervals that provide a high level of precision, and in so doing, give doctors and patients more confidence in the estimates.","Student will gain a deep understanding of the commonly used data science and statistical methods in estimating treatment effects in real world clinical settings, design a novel method that incorporates the best practices from these methods, and strengthen their programming proficiency by developing software to execute this method.","Conduct extensive simulation study, test hypotheses and draw conclusions from data","Basic programming, statistics, hypothesis testing, confidence intervals",I2R,Benedict Wong,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Statistics,Mathematics",1
226,Predicting eye movements with AI models,"Humans do not perceive the entire scenes at once. Instead, they move their eyes and pay attention to certain parts of the visual scenes. How do we come up with AI models capable of predicting human eye movements? Students get to program computational models of eye movement predictions. Alternatively, students also get to learn how to use advanced eye tracking devices in the lab, design eye tracking expeirments with programming languages, collecting human data, and analyzing these eye movement data.",publications and research experiences,"leading the project in coding, human behavioral experiment designs and data collection","python, know what is transformer in deep learning",I2R,Mengmi Zhang,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer Science",2
227,Predicting outcomes of labor (baby deliveries) using machine learning and artificial intelligence,"Applications of Machine Learning and Aritifical Intelligence for predicting the outcome of baby delivery. There are several areas of applications that can directly help mothers who are in labour. In routine delivery ward, data such as blood pressure etc are collected at time intervals on the mothers. These data can be use to predict complications in the labour process. The clinicians can utilise these predictions to make key decision such as the need for emergency caesarean.",To learn the domain knowledge of the project and to learn how to use AI methods to solve the related clinical problem,"Develop AI code, prepare and clean data, perform experiments, report results",Able to code in python. Basic applied mathematics skills,BII,Hwee Kuan Lee,"Bioinformatics Institute, 30 Biopolis Street, Matrix, #07-01, Singapore 138671","Computing and Information Sciences,Biomedical Sciences,Biomedical Engineering,Computer and Software Engineering",2
228,Predictive Modeling for Healthier SG Programme,"There is increasing interest in leveraging wearable and lifestyle data from health and wellness programmes for proactive prediction and management of disease risks. However, as these tasks are characterized by multiscale and temporal interactions, long prediction horizons and data irregularities, prediction performance has been limited. This project seeks to develop transformer based approaches to address such challenges. The proposed methods will be evaluated on a variety of multimodal health and disease risk prediction tasks in relation to state-of-the-art methods. 
","The internship will provide opportunities to deepen knowledge of cutting edge predictive modeling techniques, and gain experience in experimentation with diverse real-world datasets. Students will also learn to co-author research papers  and work in multidisciplinary project teams.","The student will develop and refine approaches for predictive risk modeling, and perform experiments on diverse datasets to demonstrate performance in relation to state-of-the-art methods.",Background in machine learning and computer science is a must. Experience with contemporary deep learning frameworks and time series or tabular datasets is required.,I2R,Pavitra Krishnaswamy,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Biomedical Sciences,Computer Science,Biomedical Engineering,Mathematics",1
229,Protein-protein interaction machine learning model,Developing protein-protein interaction machine learning model,"protein-protein interface modeling, machine learning","collect data of protein-protein complexes, explore machine leearning models for data analysis","good at linux, shell scripting, python/perl programming, have experience in machine learning, can work as full-time intern ",BII,Hao FAN,Bioinformatics Institute 30 Biopolis Street #07-01 Matrix Singapore 138671,"Biomedical Sciences,Bioscience and Biotechnology,Bioinformatics,Biomedical Engineering,Natural Sciences",2
230,Proteins4Singapore,This project aims to develop wastestreams from soy and microalgae cultivation for protein applications. Part of this work package is to identify and measure aroma active compounds present in these ingredient materials so as to enhance production of savoury type flavours and remove unwanted off-flavours,"Students will learn how to identify and measure aroma compounds, including quantification of odour activity, and be able to relate concentrations of aroma chemicals to its perceived intensity. They will also learn how flavour is formed in food materials and the impact of fermentation and processing technologies on flavour outcomes. Furthermore, they will learn how to use basic chromatographic instruments for analysing these compounds, including fundamentals of separation science and mass spectrometry.","Students will be tasked to assist research officers in basic lab duties, including weighing, pipetting, washing. They will also be involved in preparation and setup of instruments for olfactory analysis, including sensory training and standard preparations. Students must be committed to their role full-time for the duration of their internship.","Students are expected to have a background in chemistry or biochemistry, and should have basic experience in simple lab handling (weighing, pipetting). They should be currently studying to complete a diploma or degree related to chemistry, biochemistry, or food science.",SIFBI,Aaron Thong,"Singapore Institute of Food and Biotechnology Innovation, 31 Biopolis Way, Nanos, Singapore 138869","Biomedical Sciences,Bioscience and Biotechnology,Chemistry",1
231,Qauntum Control with Quantum Combs and Classical shadows,"This project focuses on building conceptual bridges between Quantum Control and lately very exciting information-theoretic notions as Quantum Combs and Classical Shadows. Quantum Control focuses on achieveing a given state or a gate by manipulating a parameter in the control Hamiltonian. Thin kind of capability is extremely crucial for building quantum computers. For instance single qubit and two qubit gates are workeing thanks to specific control pulses which have optimised shapes and duration for the gate to permorm an expected task. Quantum Combs are a very powerful tool for representing quantum channels, enabling researchers to better undertsand properties of quantum systems. Classical Shadows can be thought as ""classical sketch"" of a quantum system capturing its essential features.","Students working in this project will learn how to characterise quantum systems through quantum channels, tools from quantum Control theory, Haar integration and much more!",student will start by making survey and will follow by working on numerical framework to build and test quantum control framework. ,"Basic knowledge in linear algebra, optimisation theory, python coding and basic knowledge of quantum mechanics will be huge plus!",IHPC,Aghamalyan Davit,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632",",",2
